UNIVERSITY,COUNTRY,DEGREE
ՀՊՏՀ,AM,p
ՀՊՏՀ,AM,p
ՀՊՏՀ,AM,p
RAU,AM,p
YSU,AM,p
RAU,AM,p
University of Southern California,US,p
ՀՀ ԳԱԱ,AM,p
YSU,AM,p
University of California,US,p
ՀԱՊՀ,AM,p
ՀՀ ԳԱԱ,AM,p
ETH Zurich,CH,m
ՀՀ ԳԱԱ,AM,p
ՀԱՊՀ,AM,p
RAU,AM,p
ՀՀ ԳԱԱ,AM,p
ԵՊՀ,AM,p
ՀԱՊՀ,AM,p
ՀՀ ԳԱԱ,AM,p
ՀԱՊՀ,AM,p
ՃՇՀԱՀ,AM,p
YSU,AM,p
ՀԱՊՀ,AM,p
YSU,AM,p
ՀԱԱՀ,AM,p
Երևանի Ֆիզիկայի Ինստիտուտ,AM,p
ՀԱՊՀ,AM,p
ՀԱՊՀ,AM,p
YSU,AM,p
RAU,AM,p
YSU,AM,p
YSU,AM,p
YSU,AM,p
ՀԱՊՀ,AM,p
ՃՇՀԱՀ,AM,p
YSU,AM,p
Հայաստանի Եվրոպական Համալսարան,AM,p
YSU,AM,p
ՀԱԱՀ,AM,p
ՀԱՊՀ,AM,p
ՃՇՀԱՀ,AM,p
YSU,AM,p
YSU,AM,p
ՀԱՊՀ,AM,p
ՀԱՊՀ,AM,p
YSU,AM,p
ՀԱՊՀ,AM,p
YSU,AM,p
RAU,AM,p
ՀՊՏՀ,AM,p
YSU,AM,p
Հայաստանի Եվրոպական Համալսարան,AM,p
University of Cambridge,GB,p
YSU,AM,p
YSU,AM,p
МТУСИ,RU,p
RAU,AM,p
